index,geohash10,CLASS,HighRisk,MediumRiskTH,MediumRisk,Compliant!,MajorRisk,PriorityRisk
188,w1wqgj8hpw,NonALRO,0.0,0.0,0.0,38357.04909084147,Compliant!,Compliant!
189,w1wqgjb80r,ALRO,0.0,0.0,0.0,35291.49476312694,Compliant!,Compliant!
190,w1wqgjbs2h,NonALRO,0.0,0.0,0.0,36285.73528308354,Compliant!,Compliant!
191,w1wqgjfpwb,ALRO,0.0,0.0,0.0,10637.259999197824,Compliant!,Compliant!
192,w1wqgr2vhj,NonALRO,0.0,0.0,0.0,23466.536889548435,Compliant!,Compliant!
193,w1wr521h08,ALRO,0.0,0.0,0.0,48928.6687218694,Compliant!,Compliant!
194,w1wr520k02,NonALRO,0.0,0.0,0.0,57389.512919925124,Compliant!,Compliant!
195,w1wr50pe9y,ALRO,0.0,0.0,0.0,30439.661719713993,Compliant!,Compliant!
196,w1wr50ngxx,NonALRO,0.0,0.0,0.0,36553.83796044956,Compliant!,Compliant!
197,w1wr50rxku,ALRO,0.0,0.0,0.0,5176.843536456243,Compliant!,Compliant!
198,w1wr52crkj,NonALRO,0.0,0.0,0.0,37889.58415968617,Compliant!,Compliant!
199,w1wr50xzdn,NonALRO,0.0,0.0,8470.6875,13602.15733847367,Compliant!,MediumRisk
200,w1wr5309te,ALRO,0.0,0.0,0.0,32688.434993632432,Compliant!,Compliant!
201,w1wr51n4m0,NonALRO,0.0,0.0,0.0,38757.906575705805,Compliant!,Compliant!
202,w1wr50s0u6,NonALRO,0.0,0.0,342.25,14201.258758990543,Compliant!,MediumRisk
203,w1wr514m2h,ALRO,0.0,0.0,0.0,13976.849300266058,Compliant!,Compliant!
204,w1wr5148fw,NonALRO,0.0,0.0,0.0,4431.917036446195,Compliant!,Compliant!
205,w1wr5118pp,ALRO,0.0,0.0,0.0,14992.172012306813,Compliant!,Compliant!
206,w1wr5114zx,NonALRO,0.0,0.0,0.0,8055.436829533982,Compliant!,Compliant!
207,w1wr50x1sb,NonALRO,0.0,0.0,0.0,6999.908428890792,Compliant!,Compliant!
208,w1wr50q9u8,ALRO,0.0,0.0,0.0,19296.186442429065,Compliant!,Compliant!
209,w1wr50wt9k,NonALRO,0.0,0.0,0.0,10927.712920092672,Compliant!,Compliant!
210,w1wr50tz1n,ALRO,0.0,0.0,0.0,2733.869079660217,Compliant!,Compliant!
211,w1wr50u9zg,NonALRO,0.0,0.0,770.0625,3866.236932754742,Compliant!,MediumRisk
212,w1wr50mjm8,ALRO,0.0,0.0,0.0,15192.14830995167,Compliant!,Compliant!
213,w1wr50kz36,NonALRO,0.0,0.0,0.0,27710.70892589655,Compliant!,Compliant!
214,w1wqfuy1uz,ALRO,0.0,0.0,0.0,62383.2200716678,Compliant!,Compliant!
215,w1wqfuz5f8,NonALRO,0.0,0.0,0.0,7536.615774352916,Compliant!,Compliant!
216,w1wqfuzt6q,NonALRO,0.0,0.0,0.0,12203.910936948132,Compliant!,Compliant!
217,w1wqghbr2d,ALRO,0.0,0.0,0.0,8220.67017201709,Compliant!,Compliant!
218,w1wqghb7u9,NonALRO,0.0,0.0,0.0,30694.389906353335,Compliant!,Compliant!
219,w1wqfuwumh,ALRO,0.0,0.0,0.0,12609.045940480926,Compliant!,Compliant!
220,w1wqfuxun6,NonALRO,0.0,0.0,0.0,59555.05979432018,Compliant!,Compliant!
221,w1wqfun4bs,ALRO,0.0,0.0,0.0,20780.292277600383,Compliant!,Compliant!
222,w1wqgh956v,ALRO,0.0,0.0,0.0,49659.8451406142,Compliant!,Compliant!
223,w1wqfur1jp,NonALRO,0.0,0.0,0.0,41776.58138424788,Compliant!,Compliant!
224,w1wqgh39cq,ALRO,0.0,0.0,0.0,43611.26083883741,Compliant!,Compliant!
225,w1wqgh7x4r,NonALRO,0.0,0.0,0.0,16422.67695618124,Compliant!,Compliant!
226,w1wqgh7euq,ALRO,0.0,0.0,0.0,12413.57533005023,Compliant!,Compliant!
227,w1wqgh79jg,NonALRO,0.0,0.0,0.0,18621.604670407716,Compliant!,Compliant!
228,w1wqghjspw,ALRO,0.0,0.0,0.0,26859.513886709112,Compliant!,Compliant!
229,w1wqfusqtv,NonALRO,0.0,0.0,0.0,19975.56717327242,Compliant!,Compliant!
230,w1wqfusc84,ALRO,0.0,0.0,0.0,11835.691804340295,Compliant!,Compliant!
231,w1wqfutnhx,NonALRO,0.0,0.0,0.0,9199.625146394363,Compliant!,Compliant!
232,w1wqghy17m,ALRO,0.0,0.0,0.0,56555.189090440865,Compliant!,Compliant!
233,w1wqghwwv5,NonALRO,0.0,0.0,0.0,30616.48822586042,Compliant!,Compliant!
234,w1wqghwg9z,ALRO,0.0,0.0,0.0,21950.76511371258,Compliant!,Compliant!
235,w1wqgjsb04,NonALRO,0.0,0.0,0.0,44686.67276291428,Compliant!,Compliant!
236,w1wqgjn46k,ALRO,0.0,0.0,0.0,66129.43507163777,Compliant!,Compliant!
237,w1wr5k9rjv,ALRO,0.0,0.0,14545.625,9214.85856671234,MediumRisk,MediumRisk
238,w1wr5jpz3z,NonALRO,0.0,0.0,0.0,558.2349556521607,Compliant!,Compliant!
239,w1wr5hzgv6,NonALRO,0.0,0.0,0.0,12219.562955584093,Compliant!,Compliant!
